idSchool,SchoolName,Grade,ProgramCode,Rank,Tiebreakers,Requests,Assigned Here,Assigned Better,Assigned Worse
420,Alvarado ES,4,GE,3,CT1;,1,0,1,0
420,Alvarado ES,5,GE,1,-,2,1,0,1
420,Alvarado ES,5,GE,3,-,1,1,0,0
420,Alvarado ES,5,GE,4,-,1.5,0,1,0.5
420,Alvarado ES,5,GE,5,-,1,0,1,0
420,Alvarado ES,5,GE,7,-,1,0,1,0
420,Alvarado ES,5,GE,8,-,1,0,1,0
420,Alvarado ES,5,GE,9,-,1,0,0,1
420,Alvarado ES,5,GE,1,AA;,1,1,0,0
420,Alvarado ES,5,GE,23,AA;,1,0,1,0
420,Alvarado ES,5,GE,4,CT1;,1,0,1,0
420,Alvarado ES,5,GE,5,CT1;,1,0,1,0
420,Alvarado ES,K,MS,1,-,3,1,0,2
420,Alvarado ES,K,MS,2,-,1,0,0,1
420,Alvarado ES,K,MS,3,-,1,0,1,0
420,Alvarado ES,K,MS,4,-,1,0,1,0
420,Alvarado ES,K,MS,5,-,1,0,1,0
420,Alvarado ES,K,MS,1,AA;,1,1,0,0
420,Alvarado ES,K,MS,1,CT1;,1,1,0,0
420,Alvarado ES,K,MS,5,CT1;,1,0,1,0
420,Alvarado ES,2,MS,1,-,1,0,0,1
420,Alvarado ES,3,MS,2,-,1,0,1,0
420,Alvarado ES,K,SE,1,-,33.5,0,0,33.5
420,Alvarado ES,K,SE,2,-,31.5,0,12.5,19
420,Alvarado ES,K,SE,3,-,24.5,0,13,11.5
420,Alvarado ES,K,SE,4,-,29,0,19.5,9.5
420,Alvarado ES,K,SE,5,-,22.5,0,18.5,4
420,Alvarado ES,K,SE,6,-,14.5,0,12.5,2
420,Alvarado ES,K,SE,7,-,10.5,0,10,0.5
420,Alvarado ES,K,SE,8,-,4.5,0,4,0.5
420,Alvarado ES,K,SE,9,-,7,0,6.5,0.5
420,Alvarado ES,K,SE,10,-,5,0,5,0
420,Alvarado ES,K,SE,11,-,4.5,0,4.5,0
420,Alvarado ES,K,SE,12,-,4,0,3,1
420,Alvarado ES,K,SE,13,-,4,0,4,0
420,Alvarado ES,K,SE,14,-,4,0,4,0
420,Alvarado ES,K,SE,15,-,2.5,0,2.5,0
420,Alvarado ES,K,SE,16,-,1,0,1,0
420,Alvarado ES,K,SE,17,-,2,0,2,0
420,Alvarado ES,K,SE,18,-,3,0,3,0
420,Alvarado ES,K,SE,19,-,1.5,0,1.5,0
420,Alvarado ES,K,SE,20,-,2,0,2,0
420,Alvarado ES,K,SE,21,-,1,0,1,0
